symptom,patient_question,doctor_reply,language,appointment_needed
breathing difficulty,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",English,Yes
nausea,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Hindi,Yes
high blood pressure,Can I take paracetamol daily?,Avoid self-medication without advice.,Hindi,No
nausea,Is headache dangerous?,Monitor symptoms and seek emergency care if pain increases.,English,No
headache,When should I see a doctor?,"Maintain diet, exercise and medication regularly.",Telugu,Yes
vomiting,How to reduce BP naturally?,Avoid self-medication without advice.,English,No
nausea,Can I take paracetamol daily?,Please consult a physician and take rest.,Tamil,No
cough,Can I take paracetamol daily?,Avoid self-medication without advice.,Tamil,Yes
diabetes symptoms,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",English,Yes
fever,Is chest pain serious?,Avoid self-medication without advice.,Telugu,No
fever,How to control blood sugar?,Avoid self-medication without advice.,Tamil,No
chest pain,Is chest pain serious?,Please consult a physician and take rest.,Hindi,No
diabetes symptoms,When should I see a doctor?,Blood tests may be required.,Hindi,No
breathing difficulty,Is chest pain serious?,Avoid self-medication without advice.,Hindi,Yes
breathing difficulty,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Telugu,Yes
diabetes symptoms,"I have fever and cough, what should I do?",Avoid self-medication without advice.,Telugu,Yes
vomiting,How to control blood sugar?,Avoid self-medication without advice.,Telugu,Yes
diabetes symptoms,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Telugu,No
breathing difficulty,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,English,No
diabetes symptoms,How to control blood sugar?,Blood tests may be required.,Tamil,No
nausea,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
high blood pressure,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
high blood pressure,"I have fever and cough, what should I do?",Monitor symptoms and seek emergency care if pain increases.,English,No
breathing difficulty,When should I see a doctor?,Avoid self-medication without advice.,Telugu,Yes
diabetes symptoms,How to control blood sugar?,Blood tests may be required.,English,No
diabetes symptoms,"I have fever and cough, what should I do?",Blood tests may be required.,Tamil,No
chest pain,I feel tired all the time,Avoid self-medication without advice.,Telugu,No
cough,"I have fever and cough, what should I do?",Blood tests may be required.,English,No
high blood pressure,Is chest pain serious?,Please consult a physician and take rest.,Tamil,No
chest pain,How to control blood sugar?,"Maintain diet, exercise and medication regularly.",Tamil,Yes
chest pain,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",English,Yes
vomiting,Is chest pain serious?,Avoid self-medication without advice.,Telugu,Yes
high blood pressure,How to control blood sugar?,Avoid self-medication without advice.,Telugu,Yes
fever,How to control blood sugar?,Blood tests may be required.,Telugu,Yes
high blood pressure,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Telugu,Yes
breathing difficulty,Is chest pain serious?,Please consult a physician and take rest.,Tamil,Yes
fever,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
chest pain,Is headache dangerous?,"Maintain diet, exercise and medication regularly.",Tamil,No
chest pain,When should I see a doctor?,Blood tests may be required.,Telugu,Yes
breathing difficulty,Can I take paracetamol daily?,Please consult a physician and take rest.,English,No
vomiting,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Tamil,No
headache,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,English,No
vomiting,"I have fever and cough, what should I do?",Please consult a physician and take rest.,English,No
fatigue,How to reduce BP naturally?,Blood tests may be required.,English,Yes
fatigue,When should I see a doctor?,Avoid self-medication without advice.,English,No
headache,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",Telugu,No
cough,Is headache dangerous?,Blood tests may be required.,Tamil,Yes
headache,"I have fever and cough, what should I do?",Please consult a physician and take rest.,Hindi,No
vomiting,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Telugu,No
fatigue,How to reduce BP naturally?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
diabetes symptoms,Can I take paracetamol daily?,Please consult a physician and take rest.,English,No
nausea,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
high blood pressure,When should I see a doctor?,Monitor symptoms and seek emergency care if pain increases.,Hindi,Yes
headache,I feel tired all the time,"Maintain diet, exercise and medication regularly.",Hindi,No
headache,When should I see a doctor?,Blood tests may be required.,English,No
chest pain,Can I take paracetamol daily?,"Maintain diet, exercise and medication regularly.",Hindi,No
nausea,Is chest pain serious?,"Maintain diet, exercise and medication regularly.",Hindi,No
vomiting,"I have fever and cough, what should I do?","Maintain diet, exercise and medication regularly.",English,No
breathing difficulty,Can I take paracetamol daily?,Monitor symptoms and seek emergency care if pain increases.,Hindi,No
diabetes symptoms,How to reduce BP naturally?,"Maintain diet, exercise and medication regularly.",English,No
breathing difficulty,How to control blood sugar?,Monitor symptoms and seek emergency care if pain increases.,English,Yes
vomiting,Can I take paracetamol daily?,Please consult a physician and take rest.,English,No
high blood pressure,When should I see a doctor?,Avoid self-medication without advice.,Telugu,Yes
headache,"I have fever and cough, what should I do?",Avoid self-medication without advice.,Hindi,No
